time,pm10,pm2_5,carbon_monoxide,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloudcover,day_of_week,month
2024-10-01 00:00:00,147.37,122.47,2990.72,,93.22,7.09,0.31,24.6,73.0,7.3,1007.3,0.0,0.0,Tuesday,October
2024-10-01 01:00:00,136.25,113.73,2429.96,,78.83,6.02,4.6,23.3,77.0,6.6,1006.8,0.0,0.0,Tuesday,October
2024-10-01 02:00:00,122.54,101.89,1949.31,,56.89,5.25,21.64,23.5,71.0,8.1,1006.0,0.0,0.0,Tuesday,October
2024-10-01 03:00:00,104.86,86.18,1548.77,,38.73,4.59,38.27,24.0,66.0,8.3,1005.8,0.0,0.0,Tuesday,October
2024-10-01 04:00:00,91.56,74.04,1308.44,,29.82,4.05,37.55,23.8,67.0,8.2,1005.8,0.0,0.0,Tuesday,October
2024-10-01 05:00:00,82.93,65.99,1214.98,,28.1,3.93,30.4,22.8,72.0,8.9,1005.9,0.0,0.0,Tuesday,October
2024-10-01 06:00:00,79.13,61.37,1308.44,,34.96,4.59,15.74,23.6,72.0,7.9,1005.9,0.0,0.0,Tuesday,October
2024-10-01 07:00:00,87.57,66.54,1895.9,,47.98,6.5,1.56,24.9,72.0,6.2,1006.4,0.0,0.0,Tuesday,October
2024-10-01 08:00:00,99.89,75.6,2803.8,,56.21,8.46,6.35,26.4,66.0,8.6,1006.9,0.0,0.0,Tuesday,October
2024-10-01 09:00:00,93.55,69.95,2696.99,,66.49,9.78,22.89,27.0,68.0,9.7,1007.2,0.0,0.0,Tuesday,October
2024-10-01 10:00:00,91.97,68.37,2510.07,,69.92,10.61,51.5,28.4,61.0,11.6,1007.3,0.0,0.0,Tuesday,October
2024-10-01 11:00:00,88.92,66.11,2002.72,,58.26,10.85,113.01,29.4,56.0,12.0,1006.8,0.0,0.0,Tuesday,October
2024-10-01 12:00:00,71.72,49.42,934.6,,16.96,15.5,188.83,30.1,55.0,11.9,1005.9,0.0,0.0,Tuesday,October
2024-10-01 13:00:00,77.01,52.42,821.11,,10.88,16.69,214.58,30.6,55.0,10.3,1005.1,0.0,0.0,Tuesday,October
2024-10-01 14:00:00,80.9,54.32,827.79,,10.8,18.84,226.02,31.0,50.0,8.8,1004.1,0.0,0.0,Tuesday,October
2024-10-01 15:00:00,95.57,66.68,1361.85,,36.67,13.83,200.27,31.1,48.0,7.9,1003.8,0.0,0.0,Tuesday,October
2024-10-01 16:00:00,117.9,87.11,2243.04,,78.83,10.61,151.63,30.5,51.0,6.1,1003.5,0.0,1.0,Tuesday,October
2024-10-01 17:00:00,135.06,102.06,3177.64,,131.61,10.85,76.53,29.1,64.0,3.0,1003.8,0.0,1.0,Tuesday,October
2024-10-01 18:00:00,160.53,124.05,4592.9,,197.41,15.5,7.06,26.2,69.0,5.2,1004.3,0.0,1.0,Tuesday,October
2024-10-01 19:00:00,198.88,157.52,5928.04,,219.35,22.17,0.0,25.3,63.0,4.6,1004.7,0.0,0.0,Tuesday,October
2024-10-01 20:00:00,235.56,189.09,6942.75,,227.57,27.42,0.0,25.0,56.0,5.1,1005.2,0.0,0.0,Tuesday,October
2024-10-01 21:00:00,279.74,227.23,8224.49,,265.96,33.86,0.0,25.6,53.0,5.5,1005.4,0.0,0.0,Tuesday,October
2024-10-01 22:00:00,317.23,258.21,9078.98,,298.86,39.58,0.0,27.9,41.0,5.0,1005.3,0.0,0.0,Tuesday,October
2024-10-01 23:00:00,325.43,261.75,8865.36,,287.89,40.53,0.0,30.3,31.0,1.9,1005.3,0.0,0.0,Tuesday,October
2024-10-02 00:00:00,310.45,245.6,8010.86,,260.47,38.62,0.0,30.1,31.0,1.9,1005.4,0.0,0.0,Wednesday,October
2024-10-02 00:00:00,310.45,245.6,8010.86,,260.47,38.62,0.0,30.1,31.0,1.9,1005.4,0.0,0.0,Wednesday,October
2024-10-02 01:00:00,291.38,228.14,6942.75,,227.57,36.24,0.0,30.1,32.0,1.7,1005.2,0.0,0.0,Wednesday,October
2024-10-02 02:00:00,268.14,206.98,5821.23,,191.93,32.9,0.0,29.0,35.0,3.9,1005.0,0.0,0.0,Wednesday,October
2024-10-02 03:00:00,243.23,186.23,4806.52,,157.65,29.56,0.01,28.8,36.0,1.1,1004.9,0.0,0.0,Wednesday,October
2024-10-02 04:00:00,219.98,166.46,3898.62,,128.87,26.94,0.13,29.0,37.0,2.7,1005.1,0.0,0.0,Wednesday,October
2024-10-02 05:00:00,199.69,148.22,3231.05,,101.45,24.56,0.47,28.8,38.0,4.4,1005.4,0.0,0.0,Wednesday,October
2024-10-02 06:00:00,177.49,127.13,2670.29,,75.4,19.55,0.73,24.1,59.0,7.4,1006.3,0.0,0.0,Wednesday,October
2024-10-02 07:00:00,176.89,125.33,3070.83,,69.92,17.4,0.66,25.6,58.0,6.5,1006.7,0.0,0.0,Wednesday,October
2024-10-02 08:00:00,198.4,143.81,4379.27,,80.88,19.07,5.81,28.5,50.0,4.8,1007.3,0.0,0.0,Wednesday,October
2024-10-02 09:00:00,207.18,153.51,4539.49,,102.82,20.5,20.92,29.1,46.0,3.5,1007.7,0.0,0.0,Wednesday,October
2024-10-02 10:00:00,241.46,186.64,4966.74,,138.46,22.17,49.35,29.6,47.0,2.5,1008.1,0.0,0.0,Wednesday,October
2024-10-02 11:00:00,294.2,239.63,5287.17,,165.88,24.32,117.3,30.0,50.0,4.2,1007.7,0.0,0.0,Wednesday,October
2024-10-02 12:00:00,170.84,131.62,1789.09,,47.98,65.8,251.77,30.5,52.0,6.7,1006.9,0.0,0.0,Wednesday,October
2024-10-02 13:00:00,151.17,113.68,1241.68,,23.65,54.36,291.82,31.0,50.0,8.1,1006.2,0.0,0.0,Wednesday,October
2024-10-02 14:00:00,140.7,102.69,1094.82,,16.11,43.39,306.13,31.3,47.0,7.9,1005.2,0.0,0.0,Wednesday,October
2024-10-02 15:00:00,139.86,101.7,1668.93,,47.98,26.94,243.19,31.2,46.0,7.9,1004.6,0.0,0.0,Wednesday,October
2024-10-02 16:00:00,151.59,111.95,2670.29,,98.71,17.88,158.79,30.7,46.0,6.4,1004.2,0.0,1.0,Wednesday,October
2024-10-02 17:00:00,161.67,120.2,3791.81,,159.03,15.26,62.23,29.1,62.0,3.5,1003.9,0.0,1.0,Wednesday,October
2024-10-02 18:00:00,181.11,136.28,5233.76,,200.15,17.64,2.68,26.3,70.0,5.4,1004.6,0.0,0.0,Wednesday,October
2024-10-02 19:00:00,205.49,156.71,5981.45,,191.93,21.46,0.0,25.5,69.0,4.6,1004.5,0.0,0.0,Wednesday,October
2024-10-02 20:00:00,218.32,166.05,5767.82,,172.73,22.89,0.0,25.1,67.0,5.8,1004.9,0.0,0.0,Wednesday,October
2024-10-02 21:00:00,233.18,177.88,5767.82,,168.62,24.8,0.0,24.7,67.0,7.7,1005.0,0.0,0.0,Wednesday,October
2024-10-02 22:00:00,243.96,186.8,5767.82,,161.77,25.03,0.0,24.4,67.0,9.4,1005.1,0.0,0.0,Wednesday,October
2024-10-02 23:00:00,237.0,180.09,5340.58,,142.57,20.74,0.0,24.4,64.0,9.9,1004.9,0.0,0.0,Wednesday,October
2024-10-03 00:00:00,206.74,154.5,4432.68,,117.9,13.83,0.0,24.1,61.0,10.6,1004.6,0.0,0.0,Thursday,October
2024-10-03 00:00:00,206.74,154.5,4432.68,,117.9,13.83,0.0,24.1,61.0,10.6,1004.6,0.0,0.0,Thursday,October
2024-10-03 01:00:00,180.04,132.71,3524.78,,100.08,10.61,0.02,23.5,62.0,11.1,1004.3,0.0,0.0,Thursday,October
2024-10-03 02:00:00,162.46,118.86,2803.8,,85.0,9.54,0.73,23.5,61.0,10.5,1003.9,0.0,0.0,Thursday,October
2024-10-03 03:00:00,147.29,106.96,2216.34,,66.49,9.78,7.06,27.0,45.0,6.7,1003.7,0.0,0.0,Thursday,October
2024-10-03 04:00:00,140.63,102.4,1895.9,,54.15,11.32,16.45,27.4,42.0,4.9,1004.1,0.0,0.0,Thursday,October
2024-10-03 05:00:00,142.73,105.67,1869.2,,54.15,13.47,18.6,25.3,50.0,4.3,1004.5,0.0,0.0,Thursday,October
2024-10-03 06:00:00,150.38,112.62,2082.82,,65.8,16.45,9.12,25.0,59.0,4.5,1005.4,0.0,0.0,Thursday,October
2024-10-03 07:00:00,174.33,132.17,3044.13,,82.25,22.41,0.75,24.5,68.0,5.9,1005.9,0.0,0.0,Thursday,October
2024-10-03 08:00:00,214.11,165.43,4966.74,,98.71,30.28,4.96,27.0,58.0,7.5,1006.5,0.0,0.0,Thursday,October
2024-10-03 09:00:00,245.97,191.95,6462.1,,122.01,29.8,11.62,28.5,49.0,6.2,1006.9,0.0,0.0,Thursday,October
2024-10-03 10:00:00,258.8,203.88,6462.1,,156.28,25.99,28.97,29.6,46.0,4.9,1006.8,0.0,0.0,Thursday,October
2024-10-03 11:00:00,264.74,213.79,5714.42,,175.48,25.51,87.98,30.3,48.0,3.6,1006.3,0.0,0.0,Thursday,October
2024-10-03 12:00:00,97.38,68.31,1161.58,,32.56,53.88,191.69,30.9,50.0,6.5,1005.6,0.0,0.0,Thursday,October
2024-10-03 13:00:00,81.47,56.6,747.68,,15.42,39.1,208.85,31.1,51.0,7.8,1004.5,0.0,0.0,Thursday,October
2024-10-03 14:00:00,77.08,54.73,687.6,,12.68,32.42,220.3,31.4,50.0,6.9,1003.8,0.0,1.0,Thursday,October
2024-10-03 15:00:00,85.01,62.57,1348.5,,47.98,24.8,181.67,31.3,49.0,6.5,1003.0,0.0,4.0,Thursday,October
2024-10-03 16:00:00,99.33,74.87,2456.67,,104.19,18.36,110.15,30.9,51.0,4.7,1002.5,0.0,0.0,Thursday,October
2024-10-03 17:00:00,108.54,82.12,3524.78,,154.91,15.26,36.48,29.7,64.0,1.9,1002.8,0.0,1.0,Thursday,October
2024-10-03 18:00:00,126.86,96.71,5020.14,,186.44,19.31,1.45,29.0,61.0,2.3,1003.4,0.0,1.0,Thursday,October
2024-10-03 19:00:00,158.92,123.54,6515.5,,208.38,26.7,0.0,26.3,73.0,3.2,1003.8,0.0,0.0,Thursday,October
2024-10-03 20:00:00,191.45,150.37,7583.62,,224.83,32.9,0.0,26.0,67.0,3.9,1004.2,0.0,0.0,Thursday,October
2024-10-03 21:00:00,227.88,181.46,8544.92,,274.18,40.53,0.0,27.2,57.0,3.9,1004.4,0.0,0.0,Thursday,October
2024-10-03 22:00:00,251.04,199.41,8544.92,,293.37,44.82,0.0,27.9,52.0,4.5,1004.6,0.0,0.0,Thursday,October
2024-10-03 23:00:00,245.2,190.1,7370.0,,254.99,42.44,0.0,28.1,51.0,6.1,1004.5,0.0,0.0,Thursday,October
2024-10-04 00:00:00,221.39,166.77,6088.26,,202.89,35.76,0.0,26.8,58.0,7.4,1004.6,0.0,0.0,Friday,October
2024-10-04 00:00:00,221.39,166.77,6088.26,,202.89,35.76,0.0,26.8,58.0,7.4,1004.6,0.0,0.0,Friday,October
2024-10-04 01:00:00,194.5,141.53,4753.11,,157.65,28.85,0.0,24.6,69.0,9.7,1004.4,0.0,0.0,Friday,October
2024-10-04 02:00:00,169.93,119.3,3471.37,,116.53,21.93,0.01,24.4,69.0,9.5,1004.3,0.0,0.0,Friday,October
2024-10-04 03:00:00,149.95,103.74,2563.48,,85.68,16.21,0.34,24.4,66.0,8.2,1004.4,0.0,0.0,Friday,October
2024-10-04 04:00:00,138.34,95.86,2029.42,,62.38,13.23,3.04,24.5,66.0,8.6,1004.7,0.0,0.0,Friday,October
2024-10-04 05:00:00,133.55,93.75,1735.69,,48.67,11.56,10.55,24.6,66.0,9.2,1004.9,0.0,0.0,Friday,October
2024-10-04 06:00:00,129.29,91.71,1682.28,,47.3,10.49,13.77,24.1,72.0,9.1,1005.7,0.0,0.0,Friday,October
2024-10-04 07:00:00,133.28,95.69,2349.85,,65.12,11.68,1.56,25.3,69.0,10.2,1006.2,0.0,0.0,Friday,October
2024-10-04 08:00:00,145.22,105.88,3738.4,,85.0,14.54,5.72,27.4,65.0,11.0,1006.6,0.0,0.0,Friday,October
2024-10-04 09:00:00,140.75,102.91,4219.06,,108.3,15.74,20.56,28.9,59.0,7.7,1007.0,0.0,0.0,Friday,October
2024-10-04 10:00:00,137.27,100.11,3952.03,,115.16,15.74,47.21,29.9,55.0,2.8,1007.2,0.0,0.0,Friday,October
2024-10-04 11:00:00,134.6,99.05,3204.35,,100.08,15.97,108.72,30.5,54.0,4.7,1007.0,0.0,0.0,Friday,October
2024-10-04 12:00:00,80.1,55.74,814.44,,15.94,21.22,180.24,30.9,54.0,5.8,1006.5,0.0,7.0,Friday,October
2024-10-04 13:00:00,63.93,42.57,554.08,,8.91,17.17,173.09,31.5,49.0,4.9,1005.6,0.0,43.0,Friday,October
2024-10-04 14:00:00,58.16,38.36,527.38,,9.85,16.69,163.08,31.0,43.0,7.2,1005.4,0.0,35.0,Friday,October
2024-10-04 15:00:00,61.31,41.19,847.82,,28.79,19.79,137.33,31.0,41.0,6.0,1005.0,0.0,61.0,Friday,October
2024-10-04 16:00:00,72.06,49.93,1535.42,,68.55,24.08,88.69,30.8,41.0,2.6,1005.2,0.0,73.0,Friday,October
2024-10-04 17:00:00,82.05,57.58,2349.85,,116.53,26.46,30.76,29.5,53.0,2.5,1005.1,0.0,82.0,Friday,October
2024-10-04 18:00:00,95.64,68.5,3685.0,,141.2,27.18,0.88,27.1,65.0,4.5,1005.4,0.0,4.0,Friday,October
2024-10-04 19:00:00,118.68,87.01,5287.17,,137.09,24.56,0.0,25.8,62.0,7.3,1005.4,0.0,0.0,Friday,October
2024-10-04 20:00:00,144.34,107.22,6195.07,,135.72,21.22,0.0,24.6,67.0,6.2,1005.9,0.0,0.0,Friday,October
2024-10-04 21:00:00,162.93,119.43,6141.66,,137.09,21.22,0.0,24.3,68.0,5.9,1006.3,0.0,0.0,Friday,October
2024-10-04 22:00:00,175.9,125.89,5874.63,,142.57,24.32,0.0,24.8,62.0,7.5,1006.6,0.0,0.0,Friday,October
2024-10-04 23:00:00,181.96,129.29,5821.23,,149.43,27.66,0.0,24.9,62.0,8.3,1006.8,0.0,0.0,Friday,October
2024-10-05 00:00:00,176.33,127.05,5767.82,,153.54,30.28,0.0,24.6,64.0,8.5,1007.0,0.0,0.0,Saturday,October
2024-10-05 00:00:00,176.33,127.05,5767.82,,153.54,30.28,0.0,24.6,64.0,8.5,1007.0,0.0,0.0,Saturday,October
2024-10-05 01:00:00,166.08,121.83,5340.58,,150.8,30.28,0.0,24.4,65.0,8.6,1006.8,0.0,0.0,Saturday,October
2024-10-05 02:00:00,156.08,115.57,4806.52,,143.95,28.85,0.0,24.0,69.0,8.4,1006.8,0.0,0.0,Saturday,October
2024-10-05 03:00:00,144.18,107.63,4165.65,,137.09,26.94,0.0,24.0,69.0,7.8,1006.8,0.0,0.0,Saturday,October
2024-10-05 04:00:00,135.84,102.44,3578.19,,127.49,25.75,0.0,23.9,69.0,7.9,1007.0,0.0,0.0,Saturday,October
2024-10-05 05:00:00,134.16,102.05,3257.75,,120.64,25.27,0.01,24.0,69.0,8.1,1007.2,0.0,0.0,Saturday,October
2024-10-05 06:00:00,133.09,101.57,3070.83,,111.04,24.8,0.03,24.7,71.0,6.3,1007.7,0.0,0.0,Saturday,October
2024-10-05 07:00:00,140.41,107.72,3364.56,,105.56,26.23,0.42,26.0,68.0,6.4,1008.0,0.0,0.0,Saturday,October
2024-10-05 08:00:00,155.52,121.09,4219.06,,102.82,28.37,4.74,28.1,61.0,9.0,1008.7,0.0,0.0,Saturday,October
2024-10-05 09:00:00,153.39,120.6,4325.87,,100.08,24.32,14.13,29.1,55.0,9.1,1009.3,0.0,0.0,Saturday,October
2024-10-05 10:00:00,166.69,133.44,4486.08,,119.27,23.13,31.47,29.8,54.0,9.6,1009.4,0.0,0.0,Saturday,October
2024-10-05 11:00:00,195.05,161.68,4432.68,,141.2,23.37,78.68,30.6,53.0,6.8,1008.8,0.0,23.0,Saturday,October
2024-10-05 12:00:00,82.94,62.18,1001.36,,25.7,37.67,183.11,28.4,57.0,11.1,1009.4,0.0,69.0,Saturday,October
2024-10-05 13:00:00,75.54,54.76,660.9,,10.97,23.13,188.83,27.1,63.0,11.1,1008.5,0.0,53.0,Saturday,October
2024-10-05 14:00:00,73.33,53.4,627.52,,10.62,21.46,188.83,28.5,58.0,3.8,1007.7,0.0,91.0,Saturday,October
2024-10-05 15:00:00,75.69,56.03,734.33,,17.14,21.93,185.97,26.2,70.0,18.3,1008.5,0.0,98.0,Saturday,October
2024-10-05 16:00:00,77.2,57.11,841.14,,22.62,18.12,171.66,24.7,77.0,12.9,1009.0,0.0,100.0,Saturday,October
2024-10-05 17:00:00,72.65,52.68,854.49,,24.33,12.4,147.34,25.3,73.0,10.4,1009.4,0.0,100.0,Saturday,October
2024-10-05 18:00:00,78.84,59.72,1535.42,,67.17,9.42,77.96,23.8,83.0,10.6,1009.2,0.0,100.0,Saturday,October
2024-10-05 19:00:00,91.1,71.5,2056.12,,94.59,8.11,25.75,24.6,77.0,9.5,1009.0,0.0,100.0,Saturday,October
2024-10-05 20:00:00,98.88,78.73,2109.53,,89.11,7.63,12.16,24.7,78.0,6.7,1009.3,0.0,100.0,Saturday,October
2024-10-05 21:00:00,106.38,85.2,2162.93,,87.05,8.23,5.28,23.8,84.0,4.6,1009.9,0.0,100.0,Saturday,October
2024-10-05 22:00:00,115.68,92.64,2296.45,,86.37,8.94,2.32,23.2,85.0,5.5,1010.7,0.0,95.0,Saturday,October
2024-10-05 23:00:00,123.4,98.5,2483.37,,86.37,9.18,1.03,22.7,86.0,4.9,1010.7,0.0,0.0,Saturday,October
2024-10-06 00:00:00,121.87,97.09,2429.96,,85.0,8.34,0.97,22.5,83.0,5.1,1010.3,0.0,0.0,Sunday,October
2024-10-06 00:00:00,121.87,97.09,2429.96,,85.0,8.34,0.97,22.5,83.0,5.1,1010.3,0.0,0.0,Sunday,October
2024-10-06 01:00:00,121.46,95.99,2349.85,,81.57,7.75,0.97,21.9,84.0,6.1,1010.4,0.0,0.0,Sunday,October
2024-10-06 02:00:00,125.82,97.79,2349.85,,80.2,7.87,0.6,21.7,84.0,6.4,1010.6,0.0,0.0,Sunday,October
2024-10-06 03:00:00,125.12,95.24,2243.04,,71.97,7.09,0.77,21.2,87.0,7.5,1010.7,0.0,0.0,Sunday,October
2024-10-06 04:00:00,116.14,87.32,1949.31,,58.26,5.19,2.1,22.0,80.0,5.8,1010.9,0.0,0.0,Sunday,October
2024-10-06 05:00:00,103.85,77.95,1668.93,,45.93,3.93,5.41,20.6,88.0,6.9,1011.3,0.0,0.0,Sunday,October
2024-10-06 06:00:00,88.52,66.28,1415.25,,37.7,3.81,14.31,18.8,85.0,4.3,1013.8,0.0,0.0,Sunday,October
2024-10-06 07:00:00,81.55,61.18,1468.66,,44.55,4.95,12.34,20.5,83.0,4.1,1014.3,0.0,0.0,Sunday,October
2024-10-06 08:00:00,79.78,60.17,1789.09,,50.72,6.2,13.77,23.4,69.0,3.4,1015.0,0.0,0.0,Sunday,October
2024-10-06 09:00:00,77.33,58.48,1869.2,,50.04,7.45,28.97,24.5,69.0,4.9,1015.6,0.0,0.0,Sunday,October
2024-10-06 10:00:00,76.27,57.95,1789.09,,48.67,7.87,55.79,25.8,66.0,7.3,1015.5,0.0,0.0,Sunday,October
2024-10-06 11:00:00,74.73,57.75,1441.96,,38.04,7.87,108.72,27.2,59.0,8.4,1015.1,0.0,1.0,Sunday,October
2024-10-06 12:00:00,43.29,32.56,527.38,,7.54,9.89,145.91,28.1,53.0,8.7,1014.5,0.0,6.0,Sunday,October
2024-10-06 13:00:00,42.01,31.52,460.62,,5.31,8.7,150.2,28.7,49.0,9.8,1013.5,0.0,15.0,Sunday,October
2024-10-06 14:00:00,43.68,33.09,467.3,,5.91,9.3,154.5,29.0,47.0,10.7,1012.6,0.0,11.0,Sunday,October
2024-10-06 15:00:00,50.66,39.77,607.49,,11.82,8.58,158.79,29.1,47.0,10.7,1012.1,0.0,3.0,Sunday,October
2024-10-06 16:00:00,59.9,48.36,827.79,,22.28,7.87,153.06,28.6,50.0,11.0,1011.8,0.0,7.0,Sunday,October
2024-10-06 17:00:00,66.42,53.95,1054.76,,37.01,7.75,130.18,27.1,60.0,7.7,1011.9,0.0,0.0,Sunday,October
2024-10-06 18:00:00,79.74,65.18,1922.61,,89.11,8.23,55.07,24.3,73.0,7.7,1012.8,0.0,2.0,Sunday,October
2024-10-06 19:00:00,98.24,80.19,2777.1,,112.41,8.7,1.45,23.9,68.0,6.5,1013.5,0.0,0.0,Sunday,October
2024-10-06 20:00:00,113.13,91.6,3044.13,,98.71,9.06,0.01,22.7,72.0,7.0,1013.9,0.0,0.0,Sunday,October
2024-10-06 21:00:00,127.77,103.16,3257.75,,95.96,9.89,0.0,22.3,73.0,8.2,1014.0,0.0,0.0,Sunday,October
2024-10-06 22:00:00,138.34,111.58,3284.45,,95.96,10.97,0.0,22.2,73.0,8.4,1014.1,0.0,0.0,Sunday,October
2024-10-06 23:00:00,140.59,113.25,3124.24,,95.96,11.56,0.01,22.1,70.0,7.3,1014.0,0.0,0.0,Sunday,October
2024-10-07 00:00:00,132.22,106.86,2723.69,,93.22,10.73,0.12,21.9,69.0,8.0,1013.6,0.0,0.0,Monday,October
2024-10-07 00:00:00,132.22,106.86,2723.69,,93.22,10.73,0.12,21.9,69.0,8.0,1013.6,0.0,0.0,Monday,October
2024-10-07 01:00:00,126.04,102.19,2376.56,,83.63,9.54,0.41,22.1,65.0,8.0,1013.2,0.0,0.0,Monday,October
2024-10-07 02:00:00,122.43,99.17,2162.93,,73.34,8.23,0.89,21.7,66.0,8.8,1013.0,0.0,0.0,Monday,October
2024-10-07 03:00:00,118.85,95.88,1976.01,,62.38,6.74,1.68,21.2,67.0,9.3,1013.1,0.0,0.0,Monday,October
2024-10-07 04:00:00,117.29,94.43,1842.5,,54.15,6.26,2.06,20.4,69.0,8.4,1013.4,0.0,0.0,Monday,October
2024-10-07 05:00:00,116.97,94.17,1789.09,,50.04,6.62,1.5,19.9,71.0,7.8,1013.6,0.0,0.0,Monday,October
2024-10-07 06:00:00,117.13,93.34,1869.2,,48.67,7.87,0.37,21.5,65.0,8.0,1014.4,0.0,0.0,Monday,October
2024-10-07 07:00:00,127.9,100.78,2563.48,,52.09,10.37,0.22,22.6,66.0,5.5,1014.6,0.0,0.0,Monday,October
2024-10-07 08:00:00,147.82,116.27,3952.03,,58.95,13.47,2.41,25.6,53.0,1.2,1015.1,0.0,0.0,Monday,October
2024-10-07 09:00:00,164.89,130.43,5126.95,,72.66,15.74,6.44,26.4,56.0,5.1,1015.8,0.0,0.0,Monday,October
2024-10-07 10:00:00,154.82,123.09,4806.52,,94.59,15.14,17.7,27.2,55.0,8.9,1016.2,0.0,0.0,Monday,October
2024-10-07 11:00:00,118.89,93.78,3204.35,,93.22,13.35,62.23,27.9,53.0,12.5,1015.9,0.0,0.0,Monday,October
2024-10-07 12:00:00,51.13,38.22,680.92,,13.71,14.78,148.77,28.6,52.0,13.2,1015.0,0.0,5.0,Monday,October
2024-10-07 13:00:00,51.26,38.31,554.08,,7.8,12.99,163.08,29.4,47.0,12.0,1013.6,0.0,11.0,Monday,October
2024-10-07 14:00:00,54.35,41.01,574.11,,8.74,14.78,173.09,29.5,46.0,10.3,1012.5,0.0,33.0,Monday,October
2024-10-07 15:00:00,66.59,51.92,821.11,,18.68,14.19,178.81,29.3,46.0,10.5,1012.1,0.0,74.0,Monday,October
2024-10-07 16:00:00,83.32,66.75,1174.93,,33.93,11.92,168.8,28.2,52.0,11.2,1012.2,0.0,100.0,Monday,October
2024-10-07 17:00:00,95.7,77.39,1508.71,,52.09,10.85,143.05,26.8,63.0,8.3,1012.6,0.0,100.0,Monday,October
2024-10-07 18:00:00,118.62,97.18,2590.18,,115.16,10.97,56.51,24.8,73.0,6.0,1013.7,0.0,100.0,Monday,October
2024-10-07 19:00:00,151.08,124.64,3791.81,,146.69,11.8,0.47,24.5,67.0,6.0,1014.1,0.0,98.0,Monday,October
2024-10-07 20:00:00,183.03,151.46,4379.27,,138.46,12.76,0.0,24.1,66.0,7.0,1014.8,0.0,100.0,Monday,October
2024-10-07 21:00:00,215.45,179.11,4913.33,,141.2,14.66,0.0,23.3,65.0,21.5,1016.2,0.0,100.0,Monday,October
2024-10-07 22:00:00,232.5,193.37,5073.55,,141.2,16.45,0.0,21.3,68.0,15.5,1016.5,0.0,100.0,Monday,October
2024-10-07 23:00:00,228.55,189.77,4753.11,,135.72,16.93,0.0,21.2,68.0,14.0,1015.6,0.0,98.0,Monday,October
2024-10-08 00:00:00,205.82,171.3,4005.43,,127.49,15.5,0.03,21.3,67.0,11.2,1014.7,0.0,95.0,Tuesday,October
2024-10-08 00:00:00,205.82,171.3,4005.43,,127.49,15.5,0.03,21.3,67.0,11.2,1014.7,0.0,95.0,Tuesday,October
2024-10-08 01:00:00,182.49,152.56,3364.56,,113.79,12.76,1.04,20.9,71.0,11.4,1013.7,0.0,100.0,Tuesday,October
2024-10-08 02:00:00,166.33,138.97,2857.21,,93.22,10.25,7.42,21.0,74.0,6.7,1013.0,0.0,60.0,Tuesday,October
2024-10-08 03:00:00,147.69,123.7,2243.04,,61.69,7.63,22.71,19.2,81.0,12.6,1013.8,0.0,43.0,Tuesday,October
2024-10-08 04:00:00,137.68,116.6,1762.39,,39.76,5.84,36.12,18.7,83.0,12.8,1014.6,0.1,95.0,Tuesday,October
2024-10-08 05:00:00,145.51,124.6,1628.88,,32.22,5.19,40.77,19.0,81.0,16.4,1014.7,0.3,49.0,Tuesday,October
2024-10-08 06:00:00,138.43,119.4,1468.66,,27.42,6.44,52.21,19.4,79.0,7.7,1014.9,0.0,38.0,Tuesday,October
2024-10-08 07:00:00,128.75,110.95,1642.23,,42.84,7.75,39.7,20.3,75.0,11.2,1015.9,0.8,19.0,Tuesday,October
2024-10-08 08:00:00,126.43,108.11,2109.53,,69.23,8.94,12.16,22.3,72.0,11.0,1016.7,0.0,38.0,Tuesday,October
2024-10-08 09:00:00,125.27,105.26,2590.18,,74.71,10.01,8.23,21.3,77.0,17.2,1018.9,2.8,72.0,Tuesday,October
2024-10-08 10:00:00,119.18,97.47,2857.21,,76.09,11.68,18.95,20.9,80.0,11.6,1019.3,1.7,94.0,Tuesday,October
2024-10-08 11:00:00,100.1,79.38,2643.59,,74.03,14.19,44.35,22.7,68.0,10.6,1018.4,0.6,81.0,Tuesday,October
2024-10-08 12:00:00,47.83,32.83,867.84,,22.28,20.5,123.02,24.4,61.0,13.9,1015.9,0.9,2.0,Tuesday,October
2024-10-08 13:00:00,43.53,27.44,614.17,,14.22,19.79,141.62,27.1,51.0,4.4,1014.5,0.0,14.0,Tuesday,October
2024-10-08 14:00:00,44.3,27.43,580.79,,13.88,22.17,147.34,27.3,49.0,2.7,1013.8,0.0,34.0,Tuesday,October
2024-10-08 15:00:00,45.04,27.87,594.14,,16.11,23.13,148.77,27.0,51.0,6.5,1013.4,0.0,86.0,Tuesday,October
2024-10-08 16:00:00,46.68,29.98,634.19,,19.36,19.79,145.91,26.5,55.0,7.9,1013.4,0.0,7.0,Tuesday,October
2024-10-08 17:00:00,48.6,33.59,714.3,,23.65,13.59,134.47,24.8,67.0,9.3,1013.6,0.0,5.0,Tuesday,October
2024-10-08 18:00:00,46.83,33.62,881.2,,32.56,8.46,110.15,22.3,77.0,16.2,1015.0,0.0,34.0,Tuesday,October
2024-10-08 19:00:00,44.33,31.32,961.3,,35.64,6.56,90.12,21.6,79.0,9.9,1015.2,0.0,5.0,Tuesday,October
